Nombre,Enlace,Precio,Rebaja,Numero de habitaciones,Espacio,Garaje
"Piso en Calle de Cedaceros, Huertas-Cortes, Madrid",/inmueble/108349975/,2.200.000€,0%,2 hab.,120 m²,Garaje no incluido
"Piso en Calle de Goya, Goya, Madrid",/inmueble/107216060/,3.600.000€,0%,5 hab.,379 m²,Garaje no incluido
"Ático en Calle de las Aguas, Palacio, Madrid",/inmueble/108320705/,849.000€,0%,2 hab.,108 m²,Garaje no incluido
"Piso en Calle de Cedaceros, Huertas-Cortes, Madrid",/inmueble/108349975/,2.200.000€,0%,2 hab.,120 m²,Garaje no incluido
"Piso en Calle de Goya, Goya, Madrid",/inmueble/107216060/,3.600.000€,0%,5 hab.,379 m²,Garaje no incluido
"Ático en Paseo de Eduardo Dato, Almagro, Madrid",/inmueble/107635512/,7.250.000€,0%,5 hab.,485 m²,Garaje incluido
"Piso en Calle de Carvajales, Acacias, Madrid",/inmueble/107297535/,357.000€,0%,1 hab.,59 m²,Garaje no incluido
"Piso en Calle de Antonio Díaz-Cañabate, Niño Jesús, Madrid",/inmueble/108767532/,1.400.000€,0%,3 hab.,91 m²,Garaje no incluido
"Piso en Malasaña-Universidad, Madrid",/inmueble/107600508/,1.190.000€,8%,2 hab.,139 m²,Garaje no incluido
"Piso en Calle de Almagro, Almagro, Madrid",/inmueble/108789470/,2.500.000€,0%,3 hab.,183 m²,Garaje no incluido
"Piso en Calle de Núñez de Balboa, Castellana, Madrid",/inmueble/108100121/,2.400.000€,0%,4 hab.,313 m²,Garaje no incluido
"Piso en Trafalgar, Madrid",/inmueble/107720133/,1.140.000€,2%,2 hab.,100 m²,Garaje no incluido
"Piso en Avenida del Mediterráneo, Pacífico, Madrid",/inmueble/108573489/,785.000€,0%,3 hab.,133 m²,Garaje no incluido
"Piso en Calle de O'Donnell, Goya, Madrid",/inmueble/106086071/,3.400.000€,0%,3 hab.,303 m²,Garaje incluido
"Piso en Goya, Madrid",/inmueble/108905416/,3.700.000€,0%,5 hab.,415 m²,Garaje incluido
"Ático en Calle del Príncipe de Vergara, Goya, Madrid",/inmueble/108686363/,4.100.000€,0%,4 hab.,280 m²,Garaje incluido
"Piso en Avenida de la Ciudad de Barcelona, Pacífico, Madrid",/inmueble/108577143/,1.265.000€,3%,4 hab.,176 m²,Garaje incluido
"Piso en Almagro, Madrid",/inmueble/108789842/,3.600.000€,0%,4 hab.,292 m²,Garaje incluido
"Piso en Aravaca, Madrid",/inmueble/108887868/,1.295.000€,0%,4 hab.,196 m²,Garaje incluido
"Chalet pareado en Fuente del Berro, Madrid",/inmueble/106386781/,2.600.000€,0%,5 hab.,297 m²,Garaje no incluido
"Piso en Jerónimos, Madrid",/inmueble/107313193/,1.450.000€,0%,2 hab.,139 m²,Garaje no incluido
"Piso en Recoletos, Madrid",/inmueble/108390266/,2.200.000€,0%,3 hab.,120 m²,Garaje no incluido
"Piso en El Viso, Madrid",/inmueble/106019399/,1.950.000€,0%,6 hab.,390 m²,Garaje no incluido
"Piso en Calle de Goya, Goya, Madrid",/inmueble/108567201/,1.699.000€,0%,2 hab.,144 m²,Garaje no incluido
"Piso en Jerónimos, Madrid",/inmueble/106979854/,4.170.000€,0%,4 hab.,355 m²,Garaje incluido
"Piso en Calle de Ayala, Goya, Madrid",/inmueble/108727471/,1.250.000€,0%,2 hab.,100 m²,Garaje no incluido
"Chalet pareado en Bernabéu-Hispanoamérica, Madrid",/inmueble/105311773/,1.825.000€,0%,4 hab.,238 m²,Garaje no incluido
"Piso en Calle del Alcalde Sainz de Baranda, Niño Jesús, Madrid",/inmueble/108514015/,1.075.000€,0%,2 hab.,91 m²,Garaje no incluido
"Piso en Calle del Alcalde Sainz de Baranda, Estrella, Madrid",/inmueble/108048891/,2.400.000€,0%,3 hab.,279 m²,Garaje incluido
"Piso en Calle de Recoletos, Recoletos, Madrid",/inmueble/108532720/,2.990.000€,0%,2 hab.,188 m²,Garaje incluido
"Piso en Almagro, Madrid",/inmueble/108777741/,4.200.000€,0%,4 hab.,317 m²,Garaje no incluido
"Piso en Calle de Ibiza, Ibiza, Madrid",/inmueble/108854077/,695.000€,0%,2 hab.,71 m²,Garaje no incluido
"Piso en Calle de Ibiza, Ibiza, Madrid",/inmueble/108854077/,695.000€,0%,2 hab.,71 m²,Garaje no incluido
"Piso en Calle de Santa Engracia, Trafalgar, Madrid",/inmueble/106790745/,790.000€,0%,2 hab.,73 m²,Garaje no incluido
"Piso en Calle de las Adelfas, Adelfas, Madrid",/inmueble/108908104/,720.000€,1%,3 hab.,108 m²,Garaje incluido
"Piso en Calle de López de Hoyos, Castellana, Madrid",/inmueble/108589210/,3.350.000€,0%,3 hab.,284 m²,Garaje no incluido
"Piso en Calle de la Povedilla, Goya, Madrid",/inmueble/108735319/,1.080.000€,10%,3 hab.,122 m²,Garaje no incluido
"Piso en Calle de Ponzano, Nuevos Ministerios-Ríos Rosas, Madrid",/inmueble/108324046/,760.000€,0%,4 hab.,108 m²,Garaje no incluido
"Chalet adosado en Aravaca, Madrid",/inmueble/108784047/,1.220.000€,0%,5 hab.,204 m²,Garaje incluido
"Piso en Goya, Madrid",/inmueble/108683833/,895.000€,0%,2 hab.,118 m²,Garaje no incluido
"Piso en Aravaca, Madrid",/inmueble/108764212/,1.100.000€,0%,3 hab.,164 m²,Garaje incluido
"Piso en Avenida de Bruselas, Guindalera, Madrid",/inmueble/108820166/,1.225.000€,2%,4 hab.,206 m²,Garaje no incluido
"Piso en Calle de Padilla, Lista, Madrid",/inmueble/108758342/,1.300.000€,0%,2 hab.,111 m²,Garaje no incluido
"Piso en Calle de Concepción Jerónima, Sol, Madrid",/inmueble/107682829/,970.000€,0%,3 hab.,142 m²,Garaje no incluido
"Ático en Nuevos Ministerios-Ríos Rosas, Madrid",/inmueble/108684614/,15.000.000€,0%,5 hab.,1.500 m²,Garaje incluido
"Piso en Plaza de Lavapiés, Lavapiés-Embajadores, Madrid",/inmueble/108729108/,640.000€,2%,4 hab.,123 m²,Garaje no incluido
"Casa o chalet independiente en El Viso, Madrid",/inmueble/104911185/,5.800.000€,0%,9 hab.,848 m²,Garaje incluido
"Chalet pareado en Calle de la Fuente del Romero, 25, Aravaca, Madrid",/inmueble/108494808/,2.480.000€,0%,5 hab.,376 m²,Garaje incluido
"Piso en Calle del General Pardiñas, Goya, Madrid",/inmueble/108052793/,2.050.000€,0%,3 hab.,136 m²,Garaje opc. 65.000 €
"Piso en Calle de Diego de León, Castellana, Madrid",/inmueble/108413089/,1.150.000€,0%,2 hab.,96 m²,Garaje no incluido
"Piso en Ciudad Universitaria, Madrid",/inmueble/108241159/,2.200.000€,0%,5 hab.,510 m²,Garaje incluido
"Piso en Trafalgar, Madrid",/inmueble/108002269/,1.320.000€,0%,2 hab.,101 m²,Garaje no incluido
"Ático en Paseo de la Castellana, Cuzco-Castillejos, Madrid",/inmueble/106910454/,3.650.000€,0%,4 hab.,400 m²,Garaje incluido
"Piso en CL Salitre, Lavapiés-Embajadores, Madrid",/inmueble/108853073/,298.500€,0%,1 hab.,43 m²,Garaje no incluido
"Piso en Calle Velázquez, Castellana, Madrid",/inmueble/108716394/,4.200.000€,0%,6 hab.,456 m²,Garaje incluido
"Piso en Calle de López de Hoyos, El Viso, Madrid",/inmueble/108142029/,740.000€,0%,2 hab.,85 m²,Garaje no incluido
"Piso en Calle de López de Hoyos, Ciudad Jardín, Madrid",/inmueble/108601560/,820.000€,0%,3 hab.,132 m²,Garaje no incluido
"Ático en Calle de Núñez de Balboa, Recoletos, Madrid",/inmueble/106271135/,2.370.000€,0%,2 hab.,126 m²,Garaje incluido
"Piso en Calle de Valencia, Lavapiés-Embajadores, Madrid",/inmueble/106782672/,895.000€,0%,3 hab.,117 m²,Garaje no incluido
"Piso en Calle Isla Malaita, Peñagrande, Madrid",/inmueble/108197147/,664.000€,0%,3 hab.,119 m²,Garaje incluido
"Piso en Castellana, Madrid",/inmueble/107545416/,8.150.000€,0%,4 hab.,445 m²,Garaje incluido
"Piso en Calle de Alonso Cano, Nuevos Ministerios-Ríos Rosas, Madrid",/inmueble/108661343/,1.900.000€,0%,3 hab.,193 m²,Garaje incluido
"Piso en Calle de Alberto Aguilera, Arapiles, Madrid",/inmueble/108352054/,2.900.000€,0%,3 hab.,298 m²,Garaje no incluido
"Piso en Calle de Fernández de la Hoz, Nuevos Ministerios-Ríos Rosas, Madrid",/inmueble/108634096/,2.050.000€,0%,4 hab.,249 m²,Garaje incluido
"Piso en Argüelles, Madrid",/inmueble/108712264/,950.000€,5%,4 hab.,145 m²,Garaje no incluido
"Piso en Calle de Castelló, Castellana, Madrid",/inmueble/106323071/,2.090.000€,0%,4 hab.,319 m²,Garaje no incluido
"Piso en Calle de Miguel Ángel, Almagro, Madrid",/inmueble/108495122/,3.490.000€,0%,4 hab.,242 m²,Garaje no incluido
"Dúplex en Bernabéu-Hispanoamérica, Madrid",/inmueble/106586079/,2.600.000€,0%,4 hab.,373 m²,Garaje incluido
"Piso en Calle del Conde de Peñalver, Goya, Madrid",/inmueble/108363355/,1.550.000€,0%,3 hab.,115 m²,Garaje no incluido
"Piso en Calle de Cadarso, Argüelles, Madrid",/inmueble/108320393/,680.000€,9%,3 hab.,105 m²,Garaje no incluido
"Piso en Trafalgar, Madrid",/inmueble/108278049/,1.550.000€,0%,3 hab.,138 m²,Garaje no incluido
"Casa o chalet independiente en Nueva España, Madrid",/inmueble/107413441/,5.300.000€,0%,6 hab.,795 m²,Garaje incluido
"Piso en Calle de la Fuente del Berro, Goya, Madrid",/inmueble/108595102/,1.300.000€,0%,3 hab.,170 m²,Garaje no incluido
"Piso en Calle de Castelló, Recoletos, Madrid",/inmueble/108704656/,1.550.000€,0%,2 hab.,83 m²,Garaje no incluido
"Casa o chalet independiente en Ciudad Universitaria, Madrid",/inmueble/108853262/,2.200.000€,0%,6 hab.,510 m²,Garaje incluido
"Ático en Malasaña-Universidad, Madrid",/inmueble/108618841/,650.000€,2%,2 hab.,102 m²,Garaje no incluido
"Ático en de Hermosilla, Recoletos, Madrid",/inmueble/108363354/,1.800.000€,0%,2 hab.,100 m²,Garaje no incluido
"Ático en Lista, Madrid",/inmueble/108639992/,2.120.000€,3%,3 hab.,186 m²,Garaje no incluido
"Piso en Castellana, Madrid",/inmueble/108697452/,4.850.000€,0%,4 hab.,335 m²,Garaje incluido
"Piso en Palacio, Madrid",/inmueble/108650434/,680.000€,0%,3 hab.,105 m²,Garaje no incluido
"Piso en Calle de Antonio Maura, Jerónimos, Madrid",/inmueble/108209828/,4.610.000€,0%,3 hab.,241 m²,Garaje no incluido
"Piso en Jerónimos, Madrid",/inmueble/108505557/,3.490.000€,0%,3 hab.,259 m²,Garaje no incluido
"Piso en Calle del Simca, Orcasitas, Madrid",/inmueble/108730511/,343.000€,3%,3 hab.,137 m²,Garaje incluido
"Piso en Cuesta de Santo Domingo, Palacio, Madrid",/inmueble/108371700/,800.000€,6%,3 hab.,105 m²,Garaje no incluido
"Piso en Calle de Vicente Blasco Ibáñez, Sanchinarro, Madrid",/inmueble/108619637/,750.000€,0%,3 hab.,116 m²,Garaje incluido
"Ático en Calle Alcalde Henche de la Plata, Sanchinarro, Madrid",/inmueble/108576513/,1.050.000€,0%,4 hab.,200 m²,Garaje incluido
"Piso en Calle de Estanislao Pérez Pita, Valdebebas - Valdefuentes, Madrid",/inmueble/108748907/,850.000€,0%,3 hab.,108 m²,Garaje incluido
"Piso en Plaza del Alcalde Moreno Torres, Sanchinarro, Madrid",/inmueble/104377549/,950.000€,0%,4 hab.,140 m²,Garaje incluido
"Piso en Sanchinarro, Madrid",/inmueble/107597755/,649.000€,2%,2 hab.,100 m²,Garaje no incluido
"Piso en Calle de Vallehermoso, Arapiles, Madrid",/inmueble/108188668/,750.000€,1%,3 hab.,82 m²,Garaje no incluido
"Chalet adosado en Avenida del Papa Negro, Conde Orgaz-Piovera, Madrid",/inmueble/105891810/,1.890.000€,0%,5 hab.,385 m²,Garaje incluido
"Chalet adosado en Calle de las Petunias, Palomas, Madrid",/inmueble/106016508/,1.425.000€,0%,6 hab.,349 m²,Garaje incluido
